filename	trial_type	topic_obj	topic_col	topic_loc	backgr_obj	backgr_col	backgr_loc	words	Gen_1	Gen_2	Gen_3	Gen_4	Gen_5	condition	chain
05d.png	sin	cup	yellow	cent	no	no	no	fop	fur	fur	no	no	no	control	7
06.png	sin	cup	blue	cent	no	no	no	fop	fan	no	fur	no	no	control	7
06d.png	sin	cup	blue	cent	no	no	no	fop	fop	kur	no	nope	no	control	7
07-2.png	rel	cup	yellow	left	pen	blue	right	fop li	fop li	no	nope	no	no	control	7
07.png	rel	cup	yellow	right	pen	blue	left	fop li	fop li	no	fur li	no	no	control	7
08-2.png	rel	cup	blue	left	pen	yellow	right	fop pu	fop pu	fur	kur li	no	kur li	control	7
08.png	rel	cup	blue	right	pen	yellow	left	fop pu	fop pu	no	no	nope	no	control	7
09.png	sin	ball	yellow	cent	no	no	no	kur	kur li	kur	fur	no	no	control	7
09d.png	sin	ball	yellow	cent	no	no	no	kur	kur	no	kur	no	no	control	7
10.png	sin	ball	blue	cent	no	no	no	kur	kur	kur	no	nop	no	control	7
10d.png	sin	ball	blue	cent	no	no	no	kur	kur	no	no	no	no	control	7
11-2.png	rel	ball	yellow	left	pen	blue	right	kur li	kur li	no	no	kur li	no	control	7
11.png	rel	ball	yellow	right	pen	blue	left	kur li	kur li	no	no	kur li	no	control	7
12-2.png	rel	ball	blue	right	pen	yellow	left	kur pu	kur pu	no	no	nope	no	control	7
12.png	rel	ball	blue	left	pen	yellow	right	kur pu	kur pu	I really tried to remember but no.	kur li	no	no	control	7
13.png	sin	book	yellow	cent	no	no	no	yan	yan	meelab	no	kur li	no	control	7
13d.png	sin	book	yellow	cent	no	no	no	yan	yan	no	no	no	no	control	7
14.png	sin	book	blue	cent	no	no	no	yan	yan	no idea	no	no	no	control	7
14d.png	sin	book	blue	cent	no	no	no	yan	yan	no	no	no	no	control	7
15-2.png	rel	book	yellow	left	pen	blue	right	yan li	yan li	kur li	no	nope	no	control	7
15.png	rel	book	yellow	right	pen	blue	left	yan li	yan li	pur li	meelab	kur	no	control	7
16-2.png	rel	book	blue	right	pen	yellow	left	yan pu	yan pu	no	no	no	no	control	7
16.png	rel	book	blue	left	pen	yellow	right	yan pu	yan pu	no	meedam	fur	no	control	7
01.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb	meeb li	meeb li	meeb	control	8
01d.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	meeb li	meeb li	meeb	meeb	control	8
02.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meeb	meeb pu	meeb	meeb pu	control	8
02d.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meeb	meeb	meeb pu	meeb	control	8
03-2.png	rel	pen	yellow	left	pen	blue	right	meeb li	meep pu	meeb li	meeb li	meeb li	meeb li	control	8
03.png	rel	pen	yellow	right	pen	blue	left	meeb li	meeb li	meeb li	meeb li	meeb li	meeb li	control	8
04-2.png	rel	pen	blue	right	pen	yellow	left	meeb pu	meeb pu	meeb pu	meeb pu	meeb pu	meeb pu	control	8
04.png	rel	pen	blue	left	pen	yellow	right	meeb pu	meeb li	meeb pu	meeb pu	meeb pu	meeb	control	8
05.png	sin	cup	yellow	cent	no	no	no	fop	fop	fop li	fop	fop	yun	control	8
05d.png	sin	cup	yellow	cent	no	no	no	fop	fop	fop li	fop	fop	fop	control	8
06.png	sin	cup	blue	cent	no	no	no	fop	fop	fop pu	fop	fop	fop	control	8
06d.png	sin	cup	blue	cent	no	no	no	fop	fop	fop	fop	fop	fop	control	8
07-2.png	rel	cup	yellow	left	pen	blue	right	fop li	fop li	fop li	fop li	fop li	fop li	control	8
07.png	rel	cup	yellow	right	pen	blue	left	fop li	fop li	fop li	yan li	fop li	fop li	control	8
